,first_char,probability,second_char
781,21,0.00118272806826,4
782,21,0.000553762852767,5
783,21,0.000317900896959,6
784,21,0.000512743382192,7
785,21,0.000628965215489,8
786,21,0.00117589148983,9
787,21,0.0,10
788,21,0.152182235835,11
789,21,0.014780682564,12
790,21,0.0187903358127,13
791,21,0.0101762469919,14
792,21,0.197180595056,15
793,21,0.0118614635747,16
794,21,0.0079304309779,17
795,21,0.0190740538175,18
796,21,0.145133723474,19
797,21,0.00364389630278,20
798,21,0.0110239827171,21
799,21,0.031615756946,22
800,21,0.018858701597,23
801,21,0.0212104845767,24
802,21,0.0743067709473,25
803,21,0.0148866495296,26
804,21,0.000762278494859,27
805,21,0.0276368683002,28
806,21,0.0909333296872,29
807,21,0.0265225060162,30
808,21,0.0406981513892,31
809,21,0.00557181141982,32
810,21,0.0111572959965,33
811,21,0.00084431743601,34
812,21,0.0306859822796,35
813,21,0.00259448151389,36
814,22,9.00084290246e-05,0
815,22,0.000343090952988,1
816,22,0.000707360359864,2
817,22,0.000355798025321,3
818,22,0.000400272778486,4
819,22,0.000236139760853,5
820,22,9.53030424967e-05,6
821,22,0.000142954563745,7
822,22,0.000154602713384,8
823,22,0.000116481496385,9
824,22,0.0,10
825,22,0.156569132827,11
826,22,0.0111493970494,12
827,22,0.0171683136444,13
828,22,0.0389439999322,14
829,22,0.164172197773,15
830,22,0.015804421214,16
831,22,0.00732562719991,17
832,22,0.00667333082016,18
833,22,0.153665566799,19
834,22,0.00173557429613,20
835,22,0.00998881777635,21
836,22,0.100717314233,22
837,22,0.0178089618745,23
838,22,0.0049229316063,24
839,22,0.0956821368213,25
840,22,0.0150716467095,26
841,22,0.000495575820983,27
842,22,0.00645942843589,28
843,22,0.0432199297722,29
844,22,0.0377982455769,30
845,22,0.0473571407393,31
846,22,0.00767189492098,32
847,22,0.00529249562665,33
848,22,0.000565464718814,34
849,22,0.0294867613485,35
850,22,0.00161168034089,36
851,23,0.000145880102764,0
852,23,0.000654839572409,1
853,23,0.00103574872963,2
854,23,0.000489508789276,3
855,23,0.000544619050321,4
856,23,0.000217199264116,5
857,23,0.000157226332979,6
858,23,0.000199369473778,7
859,23,0.000228545494331,8
860,23,0.000196127693717,9
861,23,0.0,10
862,23,0.253503959024,11
863,23,0.0285860165817,12
864,23,0.0252907471493,13
865,23,0.0077835139275,14
866,23,0.187032879754,15
867,23,0.00729562602825,16
868,23,0.00655325839418,17
869,23,0.00513497961731,18
870,23,0.108098777038,19
871,23,0.00181863861446,20
872,23,0.00353840293705,21
873,23,0.00812876350404,22
874,23,0.0271482871245,23
875,23,0.00671210561719,24
876,23,0.114222499575,25
877,23,0.0582547877039,26
878,23,0.000486267009215,27
879,23,0.00820008266539,28
880,23,0.042006986036,29
881,23,0.0108275454052,30
882,23,0.0428806457626,31
883,23,0.00281386509332,32
884,23,0.00484484030181,33
885,23,0.00136478940586,34
886,23,0.0321454910892,35
887,23,0.00145718013761,36
888,24,0.000125087582437,0
889,24,0.000657554994164,1
890,24,0.000911956090878,2
891,24,0.000335538988025,3
892,24,0.000408225015657,4
893,24,0.000155514291679,5
894,24,0.000155514291679,6
895,24,0.0001707276463,7
896,24,0.000229045505679,8
897,24,0.000163120968989,9
898,24,0.0,10
899,24,0.0944698610767,11
900,24,0.0120709517052,12
901,24,0.0551306615865,13
902,24,0.0936491851136,14
903,24,0.143357976151,15
904,24,0.0165479038955,16
905,24,0.110347532183,17
906,24,0.0098675508443,18
907,24,0.0702290708613,19
908,24,0.00499082550198,20
909,24,0.0226729695031,21
910,24,0.0259818741332,22
911,24,0.0106239926435,23
912,24,0.0253268546981,24
913,24,0.0474149552347,25
914,24,0.0102343617279,26
915,24,0.00119002240589,27
916,24,0.00761174842859,28
917,24,0.0778458904081,29
918,24,0.107736751492,30
919,24,0.0132204051654,31
920,24,0.00858455793795,32
921,24,0.00723648568128,33
922,24,0.00145710129812,34
923,24,0.0142650555161,35
924,24,0.00462316943198,36
925,25,7.23693732812e-05,0
926,25,0.000503661597887,1
927,25,0.000756588902486,2
928,25,0.00031140760624,3
929,25,0.000279974444108,4
930,25,0.0001264636523,5
931,25,9.72235014788e-05,6
932,25,0.000137428708857,7
933,25,0.000122808633447,8
934,25,0.000136697705087,9
935,25,0.0,10
936,25,0.0261443498526,11
937,25,0.0231852465895,12
938,25,0.0347877384352,13
939,25,0.0367168573856,14
940,25,0.00953667519017,15
941,25,0.027914109981,16
942,25,0.0289901475312,17
943,25,0.00783051238978,18
944,25,0.0144139323471,19
945,25,0.00468646517279,20
946,25,0.0204805326386,21
947,25,0.0688729822468,22
948,25,0.05499999269,23
949,25,0.164159323734,24
950,25,0.0516307963116,25
951,25,0.0403828412947,26
952,25,0.000736120796911,27
953,25,0.142183888384,28
954,25,0.0524970357797,29
955,25,0.05094803879,30
956,25,0.0640439713388,31
957,25,0.021074838704,32
958,25,0.0301180863491,33
959,25,0.00754030389289,34
960,25,0.00960027251821,35
961,25,0.00398031553047,36
962,26,0.000135202997644,0
963,26,0.0014022482327,1
964,26,0.00144474060339,2
965,26,0.00286630355004,3
966,26,0.000979255997219,4
967,26,0.000355390736663,5
968,26,0.000237570981574,6
969,26,0.00031869278016,7
970,26,0.00030710395179,8
971,26,0.000270405995287,9
972,26,0.0,10
973,26,0.157333796886,11
974,26,0.00736856337158,12
975,26,0.0190134044115,13
976,26,0.00788812917681,14
977,26,0.129881793951,15
978,26,0.00607834047978,16
979,26,0.00612855873605,17
980,26,0.0609456483949,18
981,26,0.0785761192877,19
982,26,0.00146984973153,20
983,26,0.00470699578939,21
984,26,0.0762815312705,22
985,26,0.0107119403562,23
986,26,0.00595086336771,24
987,26,0.128286398578,25
988,26,0.0424131803608,26
989,26,0.000459690191988,27
990,26,0.120842507822,28
991,26,0.0416193456175,29
992,26,0.0329489705257,30
